rank,tensor,expert_idx,role,layer,expert_bytes,rows,bytes,prompts,source_rows,source_bytes,jobs_hist
1,blk.35.ffn_down_exps.weight,329,down,35,6307840,25,157696000,"dev_france_regression,dev_intelligence_general","{""0"": 25}","{""0"": 157696000}","{""2"": 1, ""3"": 2, ""4"": 2, ""5"": 4, ""6"": 3, ""7"": 4, ""8"": 9}"
2,blk.27.ffn_down_exps.weight,1,down,27,6307840,24,151388160,"dev_france_regression,dev_intelligence_general","{""0"": 24}","{""0"": 151388160}","{""3"": 1, ""5"": 5, ""6"": 4, ""7"": 6, ""8"": 8}"
3,blk.27.ffn_down_exps.weight,230,down,27,6307840,24,151388160,"dev_france_regression,dev_intelligence_general","{""0"": 24}","{""0"": 151388160}","{""4"": 6, ""5"": 5, ""6"": 6, ""7"": 6, ""8"": 1}"
4,blk.5.ffn_down_exps.weight,99,down,5,6307840,24,151388160,"dev_france_regression,dev_intelligence_general","{""0"": 24}","{""0"": 151388160}","{""7"": 13, ""8"": 11}"
5,blk.12.ffn_down_exps.weight,202,down,12,6307840,24,151388160,"dev_france_regression,dev_intelligence_general","{""0"": 24}","{""0"": 151388160}","{""2"": 1, ""3"": 3, ""4"": 3, ""5"": 3, ""6"": 6, ""7"": 4, ""8"": 4}"
6,blk.5.ffn_down_exps.weight,158,down,5,6311936,23,145174528,"dev_france_regression,dev_intelligence_general","{""2"": 23}","{""2"": 145174528}","{""5"": 4, ""6"": 2, ""7"": 9, ""8"": 8}"
7,blk.28.ffn_down_exps.weight,353,down,28,6307840,23,145080320,"dev_france_regression,dev_intelligence_general","{""0"": 23}","{""0"": 145080320}","{""4"": 5, ""5"": 4, ""6"": 8, ""7"": 3, ""8"": 3}"
8,blk.28.ffn_down_exps.weight,88,down,28,6307840,23,145080320,"dev_france_regression,dev_intelligence_general","{""0"": 23}","{""0"": 145080320}","{""2"": 1, ""3"": 1, ""4"": 2, ""5"": 6, ""6"": 6, ""7"": 6, ""8"": 1}"
9,blk.12.ffn_down_exps.weight,129,down,12,6307840,23,145080320,"dev_france_regression,dev_intelligence_general","{""0"": 23}","{""0"": 145080320}","{""2"": 1, ""3"": 1, ""4"": 3, ""5"": 5, ""6"": 6, ""7"": 5, ""8"": 2}"
10,blk.12.ffn_down_exps.weight,334,down,12,6307840,23,145080320,"dev_france_regression,dev_intelligence_general","{""0"": 23}","{""0"": 145080320}","{""4"": 1, ""5"": 1, ""6"": 5, ""7"": 6, ""8"": 10}"
11,blk.28.ffn_down_exps.weight,87,down,28,6307840,22,138772480,"dev_france_regression,dev_intelligence_general","{""0"": 22}","{""0"": 138772480}","{""6"": 7, ""7"": 4, ""8"": 11}"
12,blk.30.ffn_down_exps.weight,167,down,30,6307840,22,138772480,"dev_france_regression,dev_intelligence_general","{""0"": 22}","{""0"": 138772480}","{""5"": 1, ""6"": 4, ""7"": 4, ""8"": 13}"
13,blk.38.ffn_down_exps.weight,220,down,38,6307840,22,138772480,"dev_france_regression,dev_intelligence_general","{""0"": 22}","{""0"": 138772480}","{""2"": 2, ""3"": 3, ""4"": 3, ""5"": 4, ""7"": 4, ""8"": 6}"
14,blk.50.ffn_down_exps.weight,164,down,50,6307840,22,138772480,"dev_france_regression,dev_intelligence_general","{""0"": 22}","{""0"": 138772480}","{""2"": 1, ""4"": 2, ""5"": 10, ""6"": 5, ""7"": 2, ""8"": 2}"
15,blk.59.ffn_down_exps.weight,8,down,59,6307840,22,138772480,"dev_france_regression,dev_intelligence_general","{""0"": 22}","{""0"": 138772480}","{""4"": 2, ""5"": 3, ""6"": 11, ""7"": 6}"
16,blk.20.ffn_down_exps.weight,358,down,20,7798784,21,163774464,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 163774464}","{""2"": 1, ""3"": 3, ""4"": 4, ""5"": 8, ""6"": 3, ""7"": 1, ""8"": 1}"
17,blk.58.ffn_down_exps.weight,120,down,58,7798784,21,163774464,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 163774464}","{""3"": 1, ""4"": 2, ""5"": 5, ""6"": 7, ""7"": 5, ""8"": 1}"
18,blk.16.ffn_down_exps.weight,78,down,16,7798784,21,163774464,"dev_france_regression,dev_intelligence_general","{""0"": 21}","{""0"": 163774464}","{""5"": 3, ""6"": 2, ""7"": 6, ""8"": 10}"
