layer	kind	type	tensor_bytes	expert_bytes	n_experts	entries	shard_index	data_offset	shape	tensor	shard_path
1	down	Q3_K	2422210560	6307840	384	384	1	3131770912	2048,7168,384	blk.1.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
1	gate	IQ2_S	1805647872	4702208	384	384	1	5569579040	7168,2048,384	blk.1.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
1	up	IQ2_S	1805647872	4702208	384	384	1	7401863200	7168,2048,384	blk.1.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
2	down	Q3_K	2422210560	6307840	384	384	1	9330589216	2048,7168,384	blk.2.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
2	gate	IQ3_XXS	2157969408	5619712	384	384	1	11768397344	7168,2048,384	blk.2.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
2	up	IQ3_XXS	2157969408	5619712	384	384	1	13953003040	7168,2048,384	blk.2.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
3	down	Q3_K	2422210560	6307840	384	384	1	16234050592	2048,7168,384	blk.3.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
3	gate	IQ3_XXS	2157969408	5619712	384	384	1	18671858720	7168,2048,384	blk.3.ffn_gate_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
3	up	IQ3_XXS	2157969408	5619712	384	384	1	20856464416	7168,2048,384	blk.3.ffn_up_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
4	down	IQ4_XS	2994733056	7798784	384	384	1	23137511968	2048,7168,384	blk.4.ffn_down_exps.weight	/root/lfz/models/Kimi-K2.7-Code-GGUF-IQ3_S/IQ3_S/Kimi-K2.7-Code-IQ3_S-00002-of-00010.gguf
