rank,tensor,expert_idx,role,layer,expert_bytes,rows,bytes,prompts,source_rows,source_bytes,jobs_hist
1,blk.4.ffn_down_exps.weight,26,down,4,7798784,22,171573248,"dev_france_regression,dev_intelligence_general","{""0"": 22}","{""0"": 171573248}","{""3"": 1, ""5"": 2, ""6"": 3, ""7"": 8, ""8"": 8}"
2,blk.1.ffn_down_exps.weight,116,down,1,6307840,20,126156800,"dev_france_regression,dev_intelligence_general","{""1"": 20}","{""1"": 126156800}","{""4"": 1, ""5"": 1, ""6"": 6, ""7"": 5, ""8"": 7}"
3,blk.6.ffn_down_exps.weight,84,down,6,8257536,19,156893184,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 156893184}","{""4"": 1, ""6"": 5, ""7"": 8, ""8"": 5}"
4,blk.7.ffn_down_exps.weight,84,down,7,8257536,19,156893184,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 156893184}","{""4"": 1, ""5"": 4, ""6"": 1, ""7"": 6, ""8"": 7}"
5,blk.7.ffn_down_exps.weight,235,down,7,8257536,19,156893184,"dev_france_regression,dev_intelligence_general","{""0"": 19}","{""0"": 156893184}","{""4"": 1, ""5"": 4, ""6"": 1, ""7"": 6, ""8"": 7}"
6,blk.20.ffn_down_exps.weight,103,down,20,7798784,18,140378112,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 140378112}","{""3"": 1, ""4"": 2, ""5"": 1, ""6"": 5, ""7"": 3, ""8"": 6}"
7,blk.22.ffn_down_exps.weight,67,down,22,7798784,18,140378112,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 140378112}","{""3"": 3, ""4"": 2, ""6"": 3, ""7"": 7, ""8"": 3}"
8,blk.23.ffn_down_exps.weight,246,down,23,7798784,18,140378112,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 140378112}","{""4"": 1, ""5"": 4, ""6"": 7, ""7"": 4, ""8"": 2}"
9,blk.13.ffn_down_exps.weight,270,down,13,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""2"": 1, ""3"": 1, ""4"": 2, ""5"": 3, ""6"": 3, ""7"": 4, ""8"": 4}"
10,blk.11.ffn_down_exps.weight,65,down,11,6307840,18,113541120,"dev_france_regression,dev_intelligence_general","{""0"": 18}","{""0"": 113541120}","{""4"": 5, ""5"": 4, ""6"": 3, ""7"": 3, ""8"": 3}"
11,blk.7.ffn_down_exps.weight,288,down,7,8257536,17,140378112,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 140378112}","{""5"": 2, ""6"": 2, ""7"": 6, ""8"": 7}"
12,blk.18.ffn_down_exps.weight,10,down,18,8257536,17,140378112,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 140378112}","{""2"": 1, ""4"": 1, ""5"": 3, ""6"": 5, ""7"": 2, ""8"": 5}"
13,blk.21.ffn_down_exps.weight,83,down,21,7798784,17,132579328,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 132579328}","{""3"": 1, ""4"": 2, ""5"": 3, ""6"": 5, ""7"": 4, ""8"": 2}"
14,blk.26.ffn_down_exps.weight,213,down,26,7798784,17,132579328,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 132579328}","{""4"": 3, ""5"": 2, ""6"": 3, ""7"": 5, ""8"": 4}"
15,blk.27.ffn_down_exps.weight,76,down,27,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""5"": 6, ""6"": 3, ""7"": 5, ""8"": 3}"
16,blk.29.ffn_down_exps.weight,363,down,29,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""3"": 1, ""5"": 1, ""6"": 6, ""7"": 3, ""8"": 6}"
17,blk.32.ffn_down_exps.weight,353,down,32,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""4"": 2, ""5"": 1, ""6"": 5, ""7"": 5, ""8"": 4}"
18,blk.14.ffn_down_exps.weight,286,down,14,6307840,17,107233280,"dev_france_regression,dev_intelligence_general","{""0"": 17}","{""0"": 107233280}","{""2"": 1, ""3"": 2, ""4"": 3, ""5"": 3, ""6"": 5, ""7"": 3}"
19,blk.10.ffn_down_exps.weight,153,down,10,8257536,16,132120576,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 132120576}","{""4"": 1, ""5"": 2, ""6"": 3, ""7"": 5, ""8"": 5}"
20,blk.6.ffn_down_exps.weight,34,down,6,8257536,16,132120576,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 132120576}","{""6"": 4, ""7"": 8, ""8"": 4}"
21,blk.25.ffn_down_exps.weight,340,down,25,7798784,16,124780544,"dev_france_regression,dev_intelligence_general","{""0"": 16}","{""0"": 124780544}","{""3"": 3, ""5"": 2, ""6"": 4, ""7"": 3, ""8"": 4}"
22,blk.1.ffn_down_exps.weight,41,down,1,6307840,16,100925440,"dev_france_regression,dev_intelligence_general","{""1"": 16}","{""1"": 100925440}","{""5"": 3, ""6"": 2, ""7"": 5, ""8"": 6}"
23,blk.6.ffn_down_exps.weight,356,down,6,8257536,15,123863040,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 123863040}","{""3"": 1, ""4"": 1, ""6"": 1, ""7"": 7, ""8"": 5}"
24,blk.23.ffn_down_exps.weight,105,down,23,7798784,15,116981760,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 116981760}","{""4"": 2, ""5"": 2, ""6"": 5, ""7"": 3, ""8"": 3}"
25,blk.16.ffn_down_exps.weight,107,down,16,7798784,15,116981760,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 116981760}","{""3"": 1, ""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 5}"
26,blk.56.ffn_down_exps.weight,11,down,56,6307840,15,94617600,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 94617600}","{""3"": 1, ""4"": 2, ""5"": 7, ""6"": 1, ""7"": 3, ""8"": 1}"
27,blk.29.ffn_down_exps.weight,305,down,29,6307840,15,94617600,"dev_france_regression,dev_intelligence_general","{""0"": 15}","{""0"": 94617600}","{""5"": 3, ""6"": 5, ""7"": 3, ""8"": 4}"
28,blk.7.ffn_down_exps.weight,14,down,7,8257536,14,115605504,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 115605504}","{""4"": 1, ""5"": 1, ""6"": 4, ""7"": 4, ""8"": 4}"
29,blk.11.ffn_down_exps.weight,173,down,11,6307840,14,88309760,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 88309760}","{""2"": 1, ""4"": 2, ""5"": 2, ""6"": 3, ""7"": 2, ""8"": 4}"
30,blk.32.ffn_down_exps.weight,37,down,32,6307840,14,88309760,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 88309760}","{""2"": 1, ""3"": 1, ""5"": 3, ""6"": 3, ""7"": 1, ""8"": 5}"
31,blk.13.ffn_down_exps.weight,31,down,13,6307840,14,88309760,"dev_france_regression,dev_intelligence_general","{""0"": 14}","{""0"": 88309760}","{""3"": 1, ""4"": 1, ""5"": 5, ""6"": 2, ""7"": 2, ""8"": 3}"
32,blk.2.ffn_down_exps.weight,298,down,2,6307840,14,88309760,"dev_france_regression,dev_intelligence_general","{""1"": 14}","{""1"": 88309760}","{""5"": 1, ""6"": 2, ""7"": 7, ""8"": 4}"
33,blk.8.ffn_down_exps.weight,155,down,8,8257536,13,107347968,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 107347968}","{""4"": 1, ""5"": 2, ""6"": 4, ""7"": 3, ""8"": 3}"
34,blk.10.ffn_down_exps.weight,198,down,10,8257536,13,107347968,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 107347968}","{""4"": 1, ""5"": 2, ""6"": 3, ""7"": 3, ""8"": 4}"
35,blk.4.ffn_down_exps.weight,79,down,4,7798784,13,101384192,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 101384192}","{""6"": 2, ""7"": 5, ""8"": 6}"
36,blk.19.ffn_down_exps.weight,331,down,19,7798784,13,101384192,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 101384192}","{""4"": 3, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 4}"
37,blk.21.ffn_down_exps.weight,197,down,21,7798784,13,101384192,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 101384192}","{""4"": 2, ""5"": 1, ""6"": 5, ""7"": 3, ""8"": 2}"
38,blk.24.ffn_down_exps.weight,344,down,24,7798784,13,101384192,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 101384192}","{""4"": 1, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 4}"
39,blk.24.ffn_down_exps.weight,154,down,24,7798784,13,101384192,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 101384192}","{""3"": 2, ""4"": 2, ""5"": 2, ""6"": 2, ""7"": 3, ""8"": 2}"
40,blk.13.ffn_down_exps.weight,64,down,13,6307840,13,82001920,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 82001920}","{""4"": 2, ""5"": 5, ""6"": 2, ""7"": 2, ""8"": 2}"
41,blk.17.ffn_down_exps.weight,41,down,17,6307840,13,82001920,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 82001920}","{""4"": 3, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 4}"
42,blk.51.ffn_down_exps.weight,239,down,51,6307840,13,82001920,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 82001920}","{""3"": 1, ""5"": 4, ""6"": 1, ""7"": 3, ""8"": 4}"
43,blk.54.ffn_down_exps.weight,312,down,54,6307840,13,82001920,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 82001920}","{""3"": 3, ""4"": 1, ""5"": 4, ""6"": 2, ""7"": 1, ""8"": 2}"
44,blk.1.ffn_down_exps.weight,23,down,1,6307840,13,82001920,"dev_france_regression,dev_intelligence_general","{""1"": 13}","{""1"": 82001920}","{""4"": 1, ""5"": 1, ""6"": 2, ""7"": 4, ""8"": 5}"
45,blk.12.ffn_down_exps.weight,360,down,12,6307840,13,82001920,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 82001920}","{""4"": 1, ""5"": 1, ""6"": 3, ""7"": 3, ""8"": 5}"
46,blk.28.ffn_down_exps.weight,200,down,28,6307840,13,82001920,"dev_france_regression,dev_intelligence_general","{""0"": 13}","{""0"": 82001920}","{""4"": 1, ""6"": 4, ""7"": 5, ""8"": 3}"
47,blk.8.ffn_down_exps.weight,211,down,8,8257536,12,99090432,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 99090432}","{""3"": 1, ""5"": 2, ""6"": 3, ""7"": 3, ""8"": 3}"
48,blk.10.ffn_down_exps.weight,127,down,10,8257536,12,99090432,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 99090432}","{""4"": 2, ""5"": 2, ""6"": 3, ""8"": 5}"
49,blk.15.ffn_down_exps.weight,15,down,15,8257536,12,99090432,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 99090432}","{""5"": 2, ""6"": 3, ""7"": 2, ""8"": 5}"
50,blk.18.ffn_down_exps.weight,152,down,18,8257536,12,99090432,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 99090432}","{""5"": 2, ""6"": 3, ""7"": 2, ""8"": 5}"
51,blk.9.ffn_down_exps.weight,256,down,9,8257536,12,99090432,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 99090432}","{""4"": 2, ""6"": 1, ""7"": 4, ""8"": 5}"
52,blk.15.ffn_down_exps.weight,346,down,15,8257536,12,99090432,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 99090432}","{""4"": 4, ""5"": 1, ""6"": 3, ""7"": 2, ""8"": 2}"
53,blk.24.ffn_down_exps.weight,263,down,24,7798784,12,93585408,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 93585408}","{""3"": 1, ""4"": 2, ""5"": 2, ""6"": 3, ""7"": 2, ""8"": 2}"
54,blk.25.ffn_down_exps.weight,52,down,25,7798784,12,93585408,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 93585408}","{""3"": 1, ""4"": 2, ""7"": 3, ""8"": 6}"
55,blk.19.ffn_down_exps.weight,93,down,19,7798784,12,93585408,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 93585408}","{""4"": 2, ""6"": 2, ""7"": 3, ""8"": 5}"
56,blk.26.ffn_down_exps.weight,233,down,26,7798784,12,93585408,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 93585408}","{""4"": 2, ""6"": 1, ""7"": 5, ""8"": 4}"
57,blk.52.ffn_down_exps.weight,169,down,52,6307840,12,75694080,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 75694080}","{""2"": 1, ""3"": 1, ""5"": 2, ""6"": 4, ""7"": 1, ""8"": 3}"
58,blk.14.ffn_down_exps.weight,132,down,14,6307840,12,75694080,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 75694080}","{""4"": 1, ""5"": 2, ""6"": 3, ""7"": 4, ""8"": 2}"
59,blk.28.ffn_down_exps.weight,87,down,28,6307840,12,75694080,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 75694080}","{""6"": 6, ""7"": 3, ""8"": 3}"
60,blk.60.ffn_down_exps.weight,115,down,60,6307840,12,75694080,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 75694080}","{""4"": 1, ""5"": 2, ""6"": 4, ""7"": 4, ""8"": 1}"
61,blk.38.ffn_down_exps.weight,193,down,38,6307840,12,75694080,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 75694080}","{""2"": 1, ""3"": 1, ""4"": 2, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 2}"
62,blk.14.ffn_down_exps.weight,137,down,14,6307840,12,75694080,"dev_france_regression,dev_intelligence_general","{""0"": 12}","{""0"": 75694080}","{""3"": 4, ""4"": 1, ""5"": 2, ""6"": 1, ""7"": 4}"
