prompt,path,ngram,n_draft,tokens,steps,drafted,accepted,accept_rate,avg_accepted_per_step,effective_tokens_per_step,nonzero_step_fraction,max_accepted_run
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,1,4,75,71,85,3,0.03529411764705882,0.04225352112676056,1.056338028169014,0.028169014084507043,2
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,1,8,75,71,144,3,0.020833333333333332,0.04225352112676056,1.056338028169014,0.028169014084507043,2
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,1,16,75,71,234,3,0.01282051282051282,0.04225352112676056,1.056338028169014,0.028169014084507043,2
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,2,4,75,73,16,1,0.0625,0.0136986301369863,1.0273972602739727,0.0136986301369863,1
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,2,8,75,73,31,1,0.03225806451612903,0.0136986301369863,1.0273972602739727,0.0136986301369863,1
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,2,16,75,73,55,1,0.01818181818181818,0.0136986301369863,1.0273972602739727,0.0136986301369863,1
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,3,4,75,74,4,0,0.0,0.0,1.0135135135135136,0.0,0
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,3,8,75,74,8,0,0.0,0.0,1.0135135135135136,0.0,0
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,3,16,75,74,16,0,0.0,0.0,1.0135135135135136,0.0,0
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,4,4,75,74,0,0,0.0,0.0,1.0135135135135136,0.0,0
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,4,8,75,74,0,0,0.0,0.0,1.0135135135135136,0.0,0
dev_france_regression,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_france_regression/answer.txt,4,16,75,74,0,0,0.0,0.0,1.0135135135135136,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,1,4,85,82,57,2,0.03508771929824561,0.024390243902439025,1.0365853658536586,0.024390243902439025,1
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,1,8,85,82,104,2,0.019230769230769232,0.024390243902439025,1.0365853658536586,0.024390243902439025,1
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,1,16,85,82,176,2,0.011363636363636364,0.024390243902439025,1.0365853658536586,0.024390243902439025,1
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,2,4,85,84,11,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,2,8,85,84,19,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,2,16,85,84,35,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,3,4,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,3,8,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,3,16,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,4,4,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,4,8,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_japan_factual,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_japan_factual/answer.txt,4,16,85,84,0,0,0.0,0.0,1.0119047619047619,0.0,0
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,1,4,28,25,28,2,0.07142857142857142,0.08,1.12,0.08,1
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/answer.txt,1,8,28,25,42,2,0.047619047619047616,0.08,1.12,0.08,1
